시도명,누적확진자(명),누적사망자(명),"발생률
(인구10만명당, 명)","사망률
(인구10만명당, 명)"
경남,"192,206",151,"77,343",61
경남,"146,699",79,"67,972",37
경남,"128,730",71,"66,358",37
경남,"69,427",65,"56,591",53
경남,"19,755",19,"46,521",45
경남,"32,108",29,"52,246",47
경남,"18,718",30,"49,639",80
경남,"19,030",65,"45,157",154
제주,"451,523",317,"66,581",47
제주,"114,225",59,"61,820",32
제주,"337,298",258,"68,364",52
검역,"18,892",16,-,-
